Date,Open,High,Low,Close,Adj Close,Volume
17-05-01,145.100006,147.199997,144.960007,146.580002,143.240646,33602900
17-05-02,147.539993,148.089996,146.839996,147.509995,144.149475,45352200
17-05-03,145.589996,147.490005,144.270004,147.059998,143.709702,45697000
17-05-04,146.520004,147.139999,145.809998,146.529999,143.191772,23371900
17-05-05,146.759995,148.979996,146.759995,148.960007,145.566422,27327700
17-05-08,149.029999,153.699997,149.029999,153.009995,149.524139,48752400
17-05-09,153.869995,154.880005,153.449997,153.990005,150.481842,39130400
17-05-10,153.630005,153.940002,152.110001,153.259995,149.768448,25805700
17-05-11,152.449997,154.070007,152.309998,153.949997,151.063705,27255100
17-05-12,154.699997,156.419998,154.669998,156.100006,153.173401,32527000
17-05-15,156.009995,156.649994,155.050003,155.699997,152.780899,26009700
17-05-16,155.940002,156.059998,154.720001,155.470001,152.555237,20048500
17-05-17,153.600006,154.570007,149.710007,150.25,147.433075,50767700
17-05-18,151.270004,153.339996,151.130005,152.539993,149.680145,33568200
17-05-19,153.380005,153.979996,152.630005,153.059998,150.190384,26960800
17-05-22,154,154.580002,152.910004,153.990005,151.102982,22966400
17-05-23,154.899994,154.899994,153.309998,153.800003,150.916519,19918900
17-05-24,153.839996,154.169998,152.669998,153.339996,150.465149,19178000
17-05-25,153.729996,154.350006,153.029999,153.869995,150.985199,19235600
17-05-26,154,154.240005,153.309998,153.610001,150.730072,21927600
17-05-30,153.419998,154.429993,153.330002,153.669998,150.788956,20126900
17-05-31,153.970001,154.169998,152.380005,152.759995,149.896011,24451200
17-06-01,153.169998,153.330002,152.220001,153.179993,150.308136,16404100
17-06-02,153.580002,155.449997,152.889999,155.449997,152.535599,27770700
17-06-05,154.339996,154.449997,153.460007,153.929993,151.044067,25331700
17-06-06,153.899994,155.809998,153.779999,154.449997,151.554321,26624900
17-06-07,155.020004,155.979996,154.479996,155.369995,152.457092,21069600
17-06-08,155.25,155.539993,154.399994,154.990005,152.084213,21250800
17-06-09,155.190002,155.190002,146.020004,148.979996,146.186874,64882700
17-06-12,145.740005,146.089996,142.509995,145.419998,142.693649,72307300
17-06-13,147.160004,147.449997,145.149994,146.589996,143.84169,34165400
17-06-14,147.5,147.5,143.839996,145.160004,142.438507,31531200
17-06-15,143.320007,144.479996,142.210007,144.289993,141.584808,32165400
17-06-16,143.779999,144.5,142.199997,142.270004,139.602707,50361100
17-06-19,143.660004,146.740005,143.660004,146.339996,143.596375,32541400
17-06-20,146.869995,146.869995,144.940002,145.009995,142.291321,24900100
17-06-21,145.520004,146.070007,144.610001,145.869995,143.135193,21265800
17-06-22,145.770004,146.699997,145.119995,145.630005,142.899704,19106300
17-06-23,145.130005,147.160004,145.110001,146.279999,143.537506,35439400
17-06-26,147.169998,148.279999,145.380005,145.820007,143.086136,25692400
17-06-27,145.009995,146.160004,143.619995,143.729996,141.035309,24761900
17-06-28,144.490005,146.110001,143.160004,145.830002,143.095947,22082400
17-06-29,144.710007,145.130005,142.279999,143.679993,140.986252,31499400
17-06-30,144.449997,144.960007,143.779999,144.020004,141.319901,23024100
17-07-03,144.880005,145.300003,143.100006,143.5,140.809631,14277800
17-07-05,143.690002,144.789993,142.720001,144.089996,141.388565,21569600
17-07-06,143.020004,143.5,142.410004,142.729996,140.054062,24128800
17-07-07,142.899994,144.75,142.899994,144.179993,141.476883,19201700
17-07-10,144.110001,145.949997,143.369995,145.059998,142.340378,21090600
17-07-11,144.729996,145.850006,144.380005,145.529999,142.801575,19781800
17-07-12,145.869995,146.179993,144.820007,145.740005,143.007645,24884500
17-07-13,145.5,148.490005,145.440002,147.770004,144.999573,25199400
17-07-14,147.970001,149.330002,147.330002,149.039993,146.245743,20132100
17-07-17,148.820007,150.899994,148.570007,149.559998,146.756012,23793500
17-07-18,149.199997,150.130005,148.669998,150.080002,147.266281,17868800
17-07-19,150.479996,151.419998,149.949997,151.020004,148.188644,20923000
17-07-20,151.5,151.740005,150.190002,150.339996,147.521393,17243700
17-07-21,149.990005,150.440002,148.880005,150.270004,147.452713,26252600
17-07-24,150.580002,152.440002,149.899994,152.089996,149.238586,21493200
17-07-25,151.800003,153.839996,151.800003,152.740005,149.876404,18853900
17-07-26,153.350006,153.929993,153.059998,153.460007,150.582916,15781000
17-07-27,153.75,153.990005,147.300003,150.559998,147.737274,32476300
17-07-28,149.889999,150.229996,149.190002,149.5,146.697144,17213700
17-07-31,149.899994,150.330002,148.130005,148.729996,145.941574,19845900
17-08-01,149.100006,150.220001,148.410004,150.050003,147.236847,35368600
17-08-02,159.279999,159.75,156.160004,157.139999,154.193909,69936800
17-08-03,157.050003,157.210007,155.020004,155.570007,152.65332,27097300
17-08-04,156.070007,157.399994,155.690002,156.389999,153.457947,20559900
17-08-07,157.059998,158.919998,156.669998,158.809998,155.832596,21870300
17-08-08,158.600006,161.830002,158.270004,160.080002,157.078781,36205900
17-08-09,159.259995,161.270004,159.110001,161.059998,158.040405,26131500
17-08-10,159.899994,160,154.630005,155.320007,153.006531,40804300
17-08-11,156.600006,158.570007,156.070007,157.479996,155.134338,26257100
17-08-14,159.320007,160.210007,158.75,159.850006,157.46907,22122700
17-08-15,160.660004,162.199997,160.139999,161.600006,159.192978,29465500
17-08-16,161.940002,162.509995,160.149994,160.949997,158.552673,27671600
17-08-17,160.520004,160.710007,157.839996,157.860001,155.508698,27940600
17-08-18,157.860001,159.5,156.720001,157.5,155.154068,27428100
17-08-21,157.5,157.889999,155.110001,157.210007,154.868378,26368500
