Date,Open,High,Low,Close,Adj Close,Volume
2011-05-02,70.599998,70.599998,69.500000,69.680000,64.258125,31000
2011-05-03,69.839996,70.000000,68.400002,68.529999,63.197578,55000
2011-05-04,68.260002,68.809998,67.440002,67.480003,62.457142,40100
2011-05-05,67.540001,67.610001,65.809998,66.739998,61.772209,43600
2011-05-06,67.570000,67.849998,65.919998,66.330002,61.392735,30000
2011-05-09,66.480003,68.860001,66.480003,68.839996,63.715897,13000
2011-05-10,69.000000,70.339996,68.870003,69.860001,64.659981,54700
2011-05-11,70.209999,70.209999,67.730003,68.820000,63.697376,62200
2011-05-12,68.570000,69.500000,68.570000,69.150002,64.002853,20500
2011-05-13,69.250000,69.500000,68.410004,68.730003,63.614090,14600
2011-05-16,68.720001,69.489998,68.250000,68.250000,63.169830,21900
2011-05-17,68.220001,69.000000,68.150002,68.610001,63.503029,19100
2011-05-18,68.480003,69.220001,68.419998,68.730003,63.614090,13700
2011-05-19,69.040001,69.620003,68.629997,68.839996,63.715897,29000
2011-05-20,68.500000,69.570000,68.500000,68.879997,63.752937,21800
2011-05-23,68.250000,69.389999,67.070000,68.699997,63.586323,62900
2011-05-24,69.000000,69.000000,68.250000,68.440002,63.345699,11900
2011-05-25,68.480003,68.779999,67.889999,68.699997,63.586323,14200
2011-05-26,68.720001,68.839996,67.599998,68.599998,63.493755,26900
2011-05-27,68.599998,68.989998,68.500000,68.989998,63.854759,9400
2011-05-31,68.989998,69.000000,67.300003,67.489998,62.466377,66300
2011-06-01,67.610001,68.029999,64.970001,65.029999,60.189487,85000
2011-06-02,65.480003,69.089996,65.480003,68.800003,63.678902,49300
2011-06-03,68.339996,68.800003,67.430000,67.690002,62.651497,21000
2011-06-06,67.599998,68.269997,67.139999,67.879997,62.827354,18800
2011-06-07,68.099998,68.980003,67.860001,68.550003,63.447487,22800
2011-06-08,68.129997,69.430000,67.459999,67.480003,62.457142,42700
2011-06-09,67.580002,68.389999,67.489998,67.690002,62.651497,32100
2011-06-10,67.650002,68.080002,66.099998,67.239998,62.235004,18800
2011-06-13,67.660004,67.790001,66.330002,66.379997,61.439018,14400
2011-06-14,67.010002,68.050003,66.750000,68.050003,62.984692,21700
2011-06-15,67.559998,67.930000,66.300003,66.610001,61.651909,24900
2011-06-16,66.570000,68.940002,66.169998,68.769997,63.651119,52500
2011-06-17,69.019997,69.949997,68.370003,68.459999,63.364182,34000
2011-06-20,68.750000,69.470001,68.519997,68.879997,63.752937,9900
2011-06-21,69.440002,69.949997,68.919998,69.860001,64.659981,17000
2011-06-22,69.699997,69.949997,68.510002,69.650002,64.465614,45300
2011-06-23,68.900002,69.230003,67.089996,68.290001,63.206856,16300
2011-06-24,68.440002,68.440002,67.339996,67.839996,62.790348,59900
2011-06-27,67.570000,67.739998,67.000000,67.400002,62.383099,37700
2011-06-28,67.620003,67.699997,67.089996,67.550003,62.521942,21800
2011-06-29,67.500000,67.989998,66.949997,67.580002,62.549698,20100
2011-06-30,67.959999,68.000000,67.379997,67.660004,62.623726,23000
2011-07-01,67.610001,69.440002,67.000000,67.330002,62.318295,17000
2011-07-05,67.239998,67.669998,66.919998,67.669998,62.633003,24500
