Date,Open,High,Low,Close,Adj Close,Volume
2010-11-29,63.759998,64.139999,63.430000,64.010002,50.564976,5782100
2010-11-30,64.050003,64.860001,63.770000,64.629997,51.054741,11252100
2010-12-01,64.790001,65.720001,64.589996,65.629997,52.232624,9970600
2010-12-02,65.500000,65.559998,64.760002,65.199997,51.890411,8829800
2010-12-03,65.080002,65.629997,65.029999,65.169998,51.866539,5679100
2010-12-06,65.160004,65.169998,64.680000,64.730003,51.516357,4502700
2010-12-07,64.980003,65.070000,64.610001,64.680000,51.476566,5630100
2010-12-08,64.800003,64.879997,64.470001,64.629997,51.436764,5431600
2010-12-09,64.790001,64.790001,64.279999,64.720001,51.508392,6173400
2010-12-10,64.839996,65.000000,64.589996,64.900002,51.651657,5426900
2010-12-13,65.059998,65.720001,64.800003,65.529999,52.153042,9261700
2010-12-14,65.639999,65.870003,65.330002,65.589996,52.200806,5751600
2010-12-15,65.370003,65.480003,65.099998,65.239998,51.922241,4526400
2010-12-16,65.239998,65.790001,65.190002,65.750000,52.328140,4830000
2010-12-17,65.730003,66.000000,65.459999,65.970001,52.503216,7334800
2010-12-20,65.820000,66.349998,65.750000,66.309998,52.773804,5549500
2010-12-21,66.370003,66.510002,65.120003,65.400002,52.049576,7830800
2010-12-22,65.459999,65.720001,65.209999,65.680000,52.272415,3977600
2010-12-23,65.650002,65.919998,65.510002,65.690002,52.280384,3297400
2010-12-27,65.639999,65.709999,65.410004,65.419998,52.065495,2358500
2010-12-28,65.199997,65.529999,65.180000,65.279999,51.954071,3071200
2010-12-29,65.440002,65.769997,65.330002,65.330002,51.993877,3248600
2010-12-30,65.309998,65.620003,65.089996,65.120003,51.826736,3507400
2010-12-31,65.050003,65.550003,65.029999,65.330002,51.993877,2977400
2011-01-03,65.910004,66.089996,65.599998,65.750000,52.328140,6787300
2011-01-04,66.099998,66.190002,65.120003,65.410004,52.057549,7897100
2011-01-05,65.709999,66.879997,65.559998,66.589996,52.996658,10381900
2011-01-06,66.709999,66.949997,66.379997,66.839996,53.195633,7648900
2011-01-07,66.820000,66.820000,66.250000,66.389999,52.837490,4899100
2011-01-10,66.129997,66.320000,65.839996,66.050003,52.566906,5220500
2011-01-11,66.339996,66.750000,66.010002,66.330002,52.789742,4686400
2011-01-12,66.709999,67.070000,66.550003,66.730003,53.108082,5265100
2011-01-13,66.699997,67.459999,66.650002,66.910004,53.251335,7943000
2011-01-14,67.150002,67.160004,66.570000,66.779999,53.147865,5986100
2011-01-18,66.459999,67.150002,66.400002,66.570000,52.980747,6066000
2011-01-19,66.669998,66.690002,65.690002,65.900002,52.447506,7872400
2011-01-20,65.940002,66.330002,65.809998,65.900002,52.447506,7131000
2011-01-21,66.190002,66.320000,65.669998,65.870003,52.423634,5564400
2011-01-24,65.790001,66.180000,65.599998,66.180000,52.670364,4713700
2011-01-25,66.010002,66.250000,65.750000,65.769997,52.344048,4986100
2011-01-26,65.889999,66.040001,65.519997,65.860001,52.415676,6797600
2011-01-27,65.730003,65.949997,65.449997,65.559998,52.176922,6819700
2011-01-28,65.449997,65.839996,64.120003,64.400002,51.253719,10455700
2011-01-31,64.349998,64.680000,64.089996,64.309998,51.182087,8666100
2011-02-01,64.529999,65.139999,64.300003,65.050003,51.771030,7138100
2011-02-02,64.440002,64.860001,64.040001,64.650002,51.452682,8221000
2011-02-03,64.510002,64.680000,64.010002,64.180000,51.078625,6693300
2011-02-04,64.150002,64.279999,63.660000,63.840000,50.808033,8423900
2011-02-07,63.950001,63.980000,63.259998,63.680000,50.680698,8157900
2011-02-08,63.619999,64.269997,63.509998,64.169998,51.070667,6064800
2011-02-09,64.379997,64.760002,63.970001,64.419998,51.269627,6132000
2011-02-10,63.480000,64.190002,62.939999,63.360001,50.426014,15759300
2011-02-11,62.619999,64.019997,62.560001,63.869999,50.831913,9016500
2011-02-14,63.959999,64.330002,63.169998,63.340000,50.410099,9108700
2011-02-15,63.290001,64.449997,63.060001,64.349998,51.213924,9487900
2011-02-16,64.089996,64.480003,63.840000,63.959999,50.903538,8043300
2011-02-17,63.279999,64.709999,63.220001,64.699997,51.492474,10851000
2011-02-18,64.510002,64.510002,63.200001,63.410000,50.465816,14023700
2011-02-22,62.660000,63.529999,62.570000,63.150002,50.258888,9637500
2011-02-23,63.200001,63.770000,62.900002,62.930000,50.083797,9527000
2011-02-24,62.849998,63.200001,62.709999,63.029999,50.163387,9120900
2011-02-25,62.990002,63.889999,62.889999,63.599998,50.617023,6523300
2011-02-28,63.779999,63.959999,63.369999,63.419998,50.473766,8022500
2011-03-01,63.689999,63.950001,63.189999,63.209999,50.306637,8086400
2011-03-02,62.950001,62.990002,62.540001,62.939999,50.475044,7061400
2011-03-03,63.189999,63.980000,63.000000,63.750000,51.124626,8445800
2011-03-04,63.779999,63.869999,63.029999,63.400002,50.843948,7662000
2011-03-07,63.430000,63.590000,63.200001,63.470001,50.900078,7018900
2011-03-08,63.310001,63.900002,63.310001,63.790001,51.156708,7520000
2011-03-09,63.700001,64.830002,63.560001,64.650002,51.846390,7746100
2011-03-10,64.339996,64.860001,64.120003,64.430000,51.669964,8663100
2011-03-11,64.610001,64.889999,64.330002,64.650002,51.846390,6875600
2011-03-14,64.260002,64.430000,63.590000,64.139999,51.437397,5896600
2011-03-15,63.439999,63.639999,62.700001,63.009998,50.531181,8730100
2011-03-16,62.889999,62.919998,62.049999,62.310001,49.969818,8406300
2011-03-17,62.910000,63.259998,62.560001,63.080002,50.587337,6753400
2011-03-18,63.490002,63.610001,62.900002,63.240002,50.715633,8427000
2011-03-21,63.849998,64.300003,63.500000,64.099998,51.405315,6524500
2011-03-22,64.019997,64.050003,63.830002,63.939999,51.277000,5038200
2011-03-23,63.950001,64.360001,63.750000,64.199997,51.485519,3908000
2011-03-24,64.360001,64.480003,64.169998,64.199997,51.485519,4146500
2011-03-25,64.190002,64.470001,63.950001,63.980000,51.309078,5048600
2011-03-28,64.019997,64.760002,63.980000,64.339996,51.597775,4971000
2011-03-29,64.410004,64.610001,64.029999,64.160004,51.453430,5163800
2011-03-30,64.599998,65.330002,64.430000,65.050003,52.167171,5794900
2011-03-31,65.089996,65.230003,64.349998,64.410004,51.653927,7403500
2011-04-01,64.870003,65.419998,64.470001,65.220001,52.303505,6350000
2011-04-04,64.930000,65.120003,64.860001,65.089996,52.199257,4210300
2011-04-05,64.989998,65.690002,64.919998,65.580002,52.592220,5762300
2011-04-06,65.510002,65.879997,65.510002,65.750000,52.728535,3815300
2011-04-07,65.589996,66.040001,65.550003,65.919998,52.864880,6105100
2011-04-08,65.760002,66.000000,65.349998,65.730003,52.712509,4076700
2011-04-11,65.709999,66.349998,65.669998,66.040001,52.961113,4385100
2011-04-12,65.779999,66.709999,65.559998,66.570000,53.386139,7492900
2011-04-13,66.580002,66.830002,66.320000,66.449997,53.289890,4203200
2011-04-14,66.339996,66.870003,66.120003,66.699997,53.490410,4207700
2011-04-15,66.690002,67.139999,66.440002,67.110001,53.819206,5398300
2011-04-18,66.730003,67.330002,66.440002,67.150002,53.851269,5668400
2011-04-19,67.250000,67.250000,66.500000,66.809998,53.578609,4973900
2011-04-20,67.260002,67.489998,66.980003,67.330002,53.995628,4292200
2011-04-21,67.529999,67.529999,67.050003,67.410004,54.059780,3876100
2011-04-25,67.150002,67.269997,66.839996,67.029999,53.755051,4197500
2011-04-26,66.889999,67.849998,66.849998,67.709999,54.300381,6600000
2011-04-27,67.730003,68.250000,67.660004,67.930000,54.476814,5939200
2011-04-28,67.930000,69.919998,67.870003,69.720001,55.912296,12755900
2011-04-29,69.620003,69.940002,68.650002,68.889999,55.246689,8034200
2011-05-02,69.239998,69.480003,69.029999,69.309998,55.583496,6235200
2011-05-03,68.879997,69.589996,68.879997,69.589996,55.808048,6107500
2011-05-04,69.540001,69.930000,69.300003,69.830002,56.000526,8129500
2011-05-05,69.400002,69.690002,68.459999,68.830002,55.198563,7642700
2011-05-06,69.650002,69.949997,69.180000,69.269997,55.551411,6792600
2011-05-09,69.639999,69.980003,69.480003,69.820000,55.992496,5763100
2011-05-10,69.809998,70.120003,69.809998,70.029999,56.160908,6118300
2011-05-11,69.849998,70.779999,69.800003,70.199997,56.297230,6167300
2011-05-12,70.330002,71.050003,69.959999,70.959999,56.906723,6333900
2011-05-13,70.699997,71.269997,70.220001,70.559998,56.585945,7501700
2011-05-16,70.410004,71.089996,70.300003,70.720001,56.714256,5928900
2011-05-17,70.440002,71.459999,70.320000,71.110001,57.027020,6453900
2011-05-18,70.980003,71.330002,70.750000,71.269997,57.155338,5556400
2011-05-19,71.339996,71.889999,71.169998,71.779999,57.564320,5163600
2011-05-20,71.669998,71.839996,71.220001,71.300003,57.179394,5916600
2011-05-23,70.919998,71.339996,70.779999,71.040001,56.970875,5546300
2011-05-24,71.089996,71.220001,70.660004,70.980003,56.922771,5267600
2011-05-25,70.620003,70.870003,70.239998,70.449997,56.497730,5954400
2011-05-26,70.339996,70.589996,69.849998,70.419998,56.473663,5896200
2011-05-27,70.610001,71.029999,70.279999,70.400002,56.457634,4358200
2011-05-31,70.720001,71.120003,70.610001,71.120003,57.035057,6547100
2011-06-01,70.580002,70.870003,70.279999,70.290001,56.780579,7748200
2011-06-02,70.260002,70.389999,69.320000,69.510002,56.150494,6139800
2011-06-03,68.970001,69.349998,68.709999,68.970001,55.714279,5721400
2011-06-06,69.029999,69.449997,68.779999,68.889999,55.649670,4933900
2011-06-07,69.199997,69.300003,68.839996,68.930000,55.681969,7363600
2011-06-08,68.720001,69.000000,68.410004,68.839996,55.609257,5477100
2011-06-09,68.970001,69.949997,68.750000,69.510002,56.150494,6047000
2011-06-10,69.300003,69.419998,68.580002,68.690002,55.488087,6987200
2011-06-13,68.739998,69.320000,68.620003,69.059998,55.786980,4796400
2011-06-14,69.470001,69.779999,69.250000,69.570000,56.198956,4832000
2011-06-15,69.160004,69.570000,68.239998,68.480003,55.318451,7750700
2011-06-16,68.540001,69.209999,68.529999,68.889999,55.649670,6250500
2011-06-17,69.300003,69.489998,68.559998,68.720001,55.512314,7575900
2011-06-20,68.629997,69.260002,68.629997,68.980003,55.722355,5061200
2011-06-21,69.279999,69.339996,68.800003,68.930000,55.681969,5653900
2011-06-22,68.930000,69.150002,68.750000,68.779999,55.560795,5429900
2011-06-23,68.269997,68.540001,67.459999,67.980003,54.914551,8321100
2011-06-24,67.980003,68.660004,67.949997,68.449997,55.294220,14860400
2011-06-27,68.529999,69.330002,68.529999,69.050003,55.778904,7453200
2011-06-28,69.370003,69.779999,69.180000,69.620003,56.239361,5162800
2011-06-29,69.769997,70.260002,69.750000,69.959999,56.514015,5512200
2011-06-30,70.129997,70.489998,69.919998,70.430000,56.893673,5280400
2011-07-01,70.080002,70.360001,69.610001,70.190002,56.699806,6466900
2011-07-05,69.870003,70.449997,69.660004,69.769997,56.360523,7317900
2011-07-06,69.800003,70.209999,69.750000,70.169998,56.683643,5989600
2011-07-07,70.489998,70.750000,70.250000,70.519997,56.966373,5695000
